listing_id,name,price,latitude,longitude,accommodates,bathrooms,bedrooms,num_beds,rating_accuracy,rating_cleanliness,rating_communication,rating_location,rating_value,review_score_average,price_per_person,amenities_count,Quarter_Or_City
24063,Riverbend Bed and Breakfast,110,42.37602153,-71.13154258,1,1,1,1,5,5.0,5.0,5.0,5.0,5.0,110.0,6,Cambridge
2014882,country feel in center of brighton ,70,42.34222552,-71.15669243,4,1,1,4,4,4.5,5.0,4.5,4.5,4.6,17.5,6,Brighton
1042106,Engel in the Wood- Your Next Stay!!,150,42.33816118,-71.15159192,2,1,1,3,4,4.5,5.0,4.5,4.0,4.4,75.0,11,Brighton
3371146,Airbed in a room. Simple.,40,42.35738252,-71.13077852,2,1,1,1,4,4.0,5.0,4.5,4.0,4.4,20.0,8,Allston
2114274,Big living room with comfy sofa bed,110,42.35136145,-71.12615239,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,55.0,4,Allston
3897995,Massive & Sunny Room Allston/Boston,85,42.35054345,-71.14384402,2,2,1,1,4,5.0,4.5,4.5,4.5,4.6,42.5,12,Allston
716245,Nice modern 2-bedroom in Boston ,100,42.34502003,-71.16814211,5,1,2,2,4,4.5,5.0,4.5,4.5,4.6,20.0,14,Brighton
1075800,Sunny one bedroom in Allston!  ,100,42.34807248,-71.13433756,3,1,1,1,5,4.5,4.5,4.5,4.5,4.6,33.333333333333336,15,Allston
4061059,Experience Harvard Business School!,149,42.36647609,-71.1217353,6,1,0,3,5,4.5,5.0,5.0,4.5,4.8,24.83333333333333,12,Allston
1024862,"Great room, ideal location",85,42.33624033,-71.13988999,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,42.5,9,Brookline
2615020,Urban oasis near Fenway Park,900,42.34592916,-71.11147739,10,3,4,5,5,5.0,5.0,5.0,4.5,4.9,90.0,17,Brookline
891489,Rustic Room Brookline BC & Longwood,100,42.32980937,-71.14704763,1,1,1,1,4,4.0,5.0,5.0,4.5,4.6,100.0,10,Brookline
1839549,SUNNY BRIGHT AND COZY ROOM BOSTON ,75,42.35231133,-71.13655217,2,2,1,1,4,4.5,5.0,4.5,4.5,4.6,37.5,8,Allston
4311729,Lovely quiet 2 BD with Parking incl,295,42.34604921,-71.12241442,6,1,2,2,4,4.5,5.0,5.0,4.5,4.7,49.16666666666666,11,Brookline
1823021,4 Bright cozy  room in brookline,65,42.3504646,-71.11584272,1,1,1,1,5,4.5,5.0,5.0,4.5,4.8,65.0,6,Brookline
2332898,Room/bath in Coolidge Corner,69,42.3436714,-71.12700097,2,1,1,1,4,4.5,5.0,5.0,5.0,4.8,34.5,15,Brookline
1584246,Private 2 Rooms Deck near Medical A,108,42.33237106,-71.11774892,5,1,2,3,4,4.5,4.5,4.5,4.5,4.5,21.6,9,Brookline
2263295,Cozy Cottage in Brookline Village,600,42.32979412,-71.11765171,4,2,4,4,4,5.0,5.0,5.0,5.0,4.9,150.0,10,Brookline
2675815,Private Room in Brookline Village,75,42.32901009,-71.11515083,2,1,1,1,4,5.0,5.0,4.5,5.0,4.8,37.5,13,Brookline
2811504,New - Private Sunny Bed and Bath ,99,42.3475003,-71.13438388,2,1,1,2,5,4.5,5.0,4.5,4.5,4.7,49.5,19,Allston
1529321,*** BEST PRIVATE ROOM IN BOSTON ***,45,42.3552798,-71.13449907,2,2,1,1,4,4.0,4.5,4.5,4.5,4.4,22.5,11,Allston
3051609,Alquiler/female roommate by Harvard,60,42.35218465,-71.12906908,1,1,1,1,0,,,,,4.694469026548672,60.0,9,Allston
3769266,Comfortable Room MIT/Harvard,109,42.36407245,-71.10534939,2,1,1,1,5,4.5,5.0,4.5,4.5,4.7,54.5,11,Cambridge
4232852,HarvardÌ¢âÂå¢MITÌ¢âÂå¢Private Rm 1Ì¢âÂå¢ParkingÌ¢âÂå¢TV,90,42.36975124,-71.10122396,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,45.0,12,Cambridge
810461,Suite B&B in the Heart of Cambridge,98,42.37047384,-71.09780966,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,49.0,13,Cambridge
190784,MIT/MGH/Harvard furnished room,115,42.3665266,-71.08256121,1,0,1,1,5,5.0,5.0,5.0,5.0,5.0,115.0,13,Cambridge
737529,MIT/Harvard/Inman - modern 2 bed,185,42.370555,-71.10216555,5,1,2,2,5,4.5,5.0,4.5,4.5,4.7,37.0,15,Cambridge
4224124,(7) Harvard/ MIT/ MGH Guest House,83,42.37024944,-71.10165539,2,2,1,1,4,4.5,5.0,5.0,4.5,4.7,41.5,9,Cambridge
3513909,Near Harvard Private Bedroom,83,42.38083765,-71.12242838,1,1,1,1,5,4.5,5.0,5.0,5.0,4.9,83.0,10,Cambridge
542914,Bright & Contemporary in Cambridge,100,42.39443795,-71.13145535,2,1,1,1,4,5.0,5.0,4.5,4.5,4.7,50.0,10,Cambridge
4475507,Spacious 1 bedroom in Watertown,45,42.3784347,-71.17468237,1,1,1,1,0,,,,,4.694469026548672,45.0,13,Watertown
4404282,Sunny private room near Harvard,89,42.37263767,-71.10761167,1,1,1,1,5,5.0,5.0,4.5,4.5,4.8,89.0,11,Cambridge
844186,Harvard MIT Cambridge Quiet&Modern,129,42.36872823,-71.10241426,2,1,1,1,5,5.0,5.0,5.0,4.5,4.9,64.5,11,Cambridge
2322860,Cozy Room in the Heart of Inman Sq.,58,42.37316151,-71.10665463,4,1,1,2,4,4.5,5.0,5.0,5.0,4.8,14.5,7,Cambridge
1091625,MIT/Harvard room with all you need,89,42.3678306,-71.09501165,2,1,1,1,4,4.0,4.5,4.5,4.0,4.2,44.5,8,Cambridge
1259354,Lovely apartment near Harvard Sq.,135,42.36982767,-71.10791791,4,1,2,2,5,4.0,4.5,5.0,4.5,4.6,33.75,13,Cambridge
4119620,Designers' Apt Harvard/MIT ,85,42.36676456,-71.11538492,2,1,1,1,5,4.5,5.0,5.0,5.0,4.9,42.5,8,Cambridge
2660992,Balcony room w/ view next to BU,75,42.35353808,-71.1202893,3,1,1,2,5,5.0,5.0,4.5,4.5,4.8,25.0,21,Allston
1815326,Back Bay Elegance in Brighton ,99,42.35508797,-71.16241976,2,1,1,1,4,5.0,5.0,4.5,4.5,4.7,49.5,13,Brighton
